State,Gini_Coeff,State Abv
Alabama,0.4741,AL
Alaska,0.4376,AK
Arizona,0.4591,AZ
Arkansas,0.475,AR
California,0.4866,CA
Colorado,0.4548,CO
Connecticut,0.5024,CT
Delaware,0.4509,DE
Dist. of Columbia,0.5115,DC
Florida,0.4808,FL
Georgia,0.4795,GA
Hawaii,0.4397,HI
Idaho,0.4337,ID
Illinois,0.48,IL
Indiana,0.4584,IN
Iowa,0.4422,IA
Kansas,0.45,KS
Kentucky,0.4764,KY
Louisiana,0.4978,LA
Maine,0.449,ME
Maryland,0.4558,MD
Massachusetts,0.4803,MA
Michigan,0.4634,MI
Minnesota,0.4434,MN
Mississippi,0.4896,MS
Missouri,0.4633,MO
Montana,0.4597,MT
Nebraska,0.44,NE
Nevada,0.471,NV
New Hampshire,0.4406,NH
New Jersey,0.4782,NJ
New Mexico,0.4768,NM
New York,0.5149,NY
North Carolina,0.4743,NC
North Dakota,0.4558,ND
Ohio,0.4651,OH
Oklahoma,0.4739,OK
Oregon,0.45,OR
Pennsylvania,0.4745,PA
Rhode Island,0.4628,RI
South Carolina,0.4747,SC
South Dakota,0.436,SD
Tennessee,0.4749,TN
Texas,0.4753,TX
Utah,0.4268,UT
Vermont,0.4471,VT
Virginia,0.469,VA
Washington,0.4577,WA
West Virginia,0.4644,WV
Wisconsin,0.4391,WI
Wyoming,0.4345,WY